"","x"
"1",11.65985988
"2",11.05345139
"3",9.495461107
"4",7.78127618
"5",7.39950793
"6",13.62990312
"7",12.79060987
"8",11.59190909
"9",11.51446185
"10",10.53964438
"11",10.76213697
"12",11.56343415
"13",6.58150356
"14",12.4714904
"15",7.960067461
"16",11.3630943
"17",7.264666827
"18",10.91295105
"19",9.695651747
"20",10.90544638
"21",4.888321971
"22",9.188094649
"23",9.24565902
"24",13.86419753
"25",9.669911339
"26",7.31192634
"27",11.93796937
"28",9.557263156
"29",13.75532604
"30",12.55684112
"31",7.575859886
"32",8.328361118
"33",7.554139053
"34",5.9410274
"35",9.894328732
"36",6.092023084
"37",7.901576975
"38",9.176970001
"39",11.05337468
"40",8.16061172
"41",10.99060994
"42",9.134922744
"43",6.987494278
"44",13.65976266
"45",11.00569819
"46",10.77632809
"47",9.249242715
"48",8.513282125
"49",5.993244208
"50",9.645279952
"51",7.724307703
"52",8.990675175
"53",9.202699006
"54",9.083969208
"55",11.4270668
"56",8.364932434
"57",9.753977354
"58",9.565605099
"59",9.912852857
"60",12.49291117
"61",14.18659606
"62",9.039374603
"63",8.010430063
"64",10.53773557
"65",10.67206992
"66",11.34789116
"67",7.645333807
"68",9.350931082
"69",5.517524947
"70",3.508870847
"71",6.242058106
"72",10.43318979
"73",11.06273571
"74",10.54427996
"75",10.18543083
"76",6.066932621
"77",9.836661512
"78",9.862955031
"79",8.901852628
"80",12.96037951
"81",11.99072095
"82",9.70024225
"83",9.568288769
"84",9.569490632
"85",5.945919425
"86",12.41871184
"87",10.86771335
"88",11.05006993
"89",13.29654476
"90",10.85499402
"91",8.341670245
"92",10.306111
"93",8.163886358
"94",12.76849995
"95",9.306242265
"96",9.58817371
"97",11.35266795
"98",9.259210295
"99",7.362231726
"100",8.966910968
"101",10.1765692
"102",9.841111192
"103",10.9290911
"104",9.465005359
"105",7.848802126
"106",6.589612422
"107",8.597030857
"108",8.53529358
"109",11.97896538
"110",5.727301889
"111",10.14337439
"112",9.084997913
"113",8.604494636
"114",8.638752549
"115",9.015536217
"116",9.444032691
"117",8.840569587
"118",8.770375192
"119",9.949719666
"120",7.253140512
"121",8.257625565
"122",7.794364252
"123",9.702080383
"124",10.1049863
"125",8.964001777
"126",10.83311086
"127",6.504123216
"128",10.2432427
"129",9.130616554
"130",5.562057098
"131",11.33247121
"132",7.229398207
"133",9.461584616
"134",13.69358584
"135",7.340732874
"136",7.895239992
"137",11.43683192
"138",8.855457603
"139",11.21598206
"140",8.312914986
"141",11.04053179
"142",6.443774468
"143",9.90552595
"144",12.68185223
"145",8.773147149
"146",9.986970779
"147",12.1295
"148",8.050448656
"149",8.418629536
"150",7.657956079
"151",11.21372773
"152",7.51070984
"153",8.783630699
"154",6.960708409
"155",12.2300684
"156",10.36285678
"157",10.45706456
"158",11.76948428
"159",13.07472774
